line_id,estimate_id,cost_code,description,quantity,unit,unit_cost,unit_price,line_total,category
ELI-5C6051E1,EST-CC815282,03-ROUGH-ELEC,Rough Electrical — Subcontractor,1,ls,7780.53,12358.9,12358.9,subcontractor
ELI-59C46829,EST-CC815282,04-INSULATION,Insulation — Labor,1,ls,2334.16,3707.67,3707.67,labor
ELI-1560C800,EST-CC815282,04-INSULATION,Insulation — Materials,1,ls,1556.11,2471.78,2471.78,material
ELI-0F78F9BB,EST-CC815282,05-DRYWALL,Drywall — Labor,1,ls,5446.37,8651.23,8651.23,labor
ELI-CE9B1AB9,EST-CC815282,05-DRYWALL,Drywall — Materials,1,ls,3112.21,4943.56,4943.56,material
ELI-77703FB6,EST-CC815282,06-CABINETS,Cabinet Installation — Labor,1,ls,4668.32,7415.34,7415.34,labor
ELI-618525B0,EST-CC815282,06-CABINETS,Cabinet Installation — Materials,1,ls,14004.95,22246.02,22246.02,material
ELI-09B65C24,EST-CC815282,07-COUNTERTOPS,Countertops — Subcontractor,1,ls,9336.63,14830.68,14830.68,subcontractor
ELI-AC880D59,EST-CC815282,08-TILE,Tile Work — Materials,1,ls,2334.16,3707.67,3707.67,material
ELI-7ED388BE,EST-CC815282,08-TILE,Tile Work — Subcontractor,1,ls,6224.42,9887.12,9887.12,subcontractor
ELI-AB5B811C,EST-CC815282,09-PAINT,Paint — Labor,1,ls,3890.26,6179.45,6179.45,labor
ELI-66E11F39,EST-CC815282,09-PAINT,Paint — Materials,1,ls,1556.11,2471.78,2471.78,material
ELI-E069FA8A,EST-CC815282,10-FINISH-CARP,Finish Carpentry & Trim — Labor,1,ls,4668.32,7415.34,7415.34,labor
ELI-23E560BC,EST-CC815282,10-FINISH-CARP,Finish Carpentry & Trim — Materials,1,ls,2334.16,3707.67,3707.67,material
ELI-070046C5,EST-CC815282,11-FIXTURES,Fixtures & Appliances — Labor,1,ls,2334.16,3707.67,3707.67,labor
ELI-E3027BAA,EST-CC815282,11-FIXTURES,Fixtures & Appliances — Materials,1,ls,7780.53,12358.9,12358.9,material
ELI-8A107E5B,EST-CC815282,12-CLEANUP,Final Cleanup & Punch — Labor,1,ls,1556.11,2471.78,2471.78,labor
ELI-041DE7A6,EST-490BF9A8,01-DEMO,Demolition — Labor,1,ls,1837.92,2797.7,2797.7,labor
ELI-12A7CB58,EST-490BF9A8,02-ROUGH-PLUMB,Rough Plumbing — Materials,1,ls,918.96,1398.85,1398.85,material
ELI-3DE9AF47,EST-490BF9A8,02-ROUGH-PLUMB,Rough Plumbing — Subcontractor,1,ls,3308.26,5035.86,5035.86,subcontractor
ELI-B8A46F33,EST-490BF9A8,03-ROUGH-ELEC,Rough Electrical — Materials,1,ls,367.58,559.54,559.54,material
ELI-7135C5EA,EST-490BF9A8,03-ROUGH-ELEC,Rough Electrical — Subcontractor,1,ls,1470.34,2238.16,2238.16,subcontractor
ELI-A6F76403,EST-490BF9A8,04-BACKER,Cement Board & Waterproofing — Labor,1,ls,1102.75,1678.62,1678.62,labor
ELI-3A079F9E,EST-490BF9A8,04-BACKER,Cement Board & Waterproofing — Materials,1,ls,735.17,1119.08,1119.08,material
ELI-DCA8D1D5,EST-490BF9A8,05-TILE,Tile & Shower — Materials,1,ls,1470.34,2238.16,2238.16,material
ELI-4F8C322D,EST-490BF9A8,05-TILE,Tile & Shower — Subcontractor,1,ls,3675.85,5595.4,5595.4,subcontractor
ELI-19D31A5E,EST-490BF9A8,06-VANITY,Vanity & Fixtures — Labor,1,ls,918.96,1398.85,1398.85,labor
ELI-725E9B6A,EST-490BF9A8,06-VANITY,Vanity & Fixtures — Materials,1,ls,2205.51,3357.24,3357.24,material
ELI-9836118E,EST-490BF9A8,07-PAINT,Paint — Labor,1,ls,735.17,1119.08,1119.08,labor
ELI-030E9981,EST-490BF9A8,07-PAINT,Paint — Materials,1,ls,367.58,559.54,559.54,material
ELI-92BD97FE,EST-490BF9A8,08-CLEANUP,Final Cleanup & Punch — Labor,1,ls,367.58,559.54,559.54,labor
ELI-4C12C829,EST-D6185D74,01-DEMO,Demolition — Labor,1,ls,2862.08,4138.31,4138.31,labor
ELI-F3C43A6D,EST-D6185D74,02-ROUGH-PLUMB,Rough Plumbing — Materials,1,ls,1431.04,2069.15,2069.15,material
ELI-25BEE622,EST-D6185D74,02-ROUGH-PLUMB,Rough Plumbing — Subcontractor,1,ls,5151.74,7448.95,7448.95,subcontractor
ELI-85EFC18A,EST-D6185D74,03-ROUGH-ELEC,Rough Electrical — Materials,1,ls,572.42,827.66,827.66,material
ELI-EB4027B6,EST-D6185D74,03-ROUGH-ELEC,Rough Electrical — Subcontractor,1,ls,2289.66,3310.64,3310.64,subcontractor
ELI-AAF667CA,EST-D6185D74,04-BACKER,Cement Board & Waterproofing — Labor,1,ls,1717.25,2482.98,2482.98,labor
ELI-7977DB3E,EST-D6185D74,04-BACKER,Cement Board & Waterproofing — Materials,1,ls,1144.83,1655.32,1655.32,material
ELI-81C7AE47,EST-D6185D74,05-TILE,Tile & Shower — Materials,1,ls,2289.66,3310.64,3310.64,material
ELI-150E6E9E,EST-D6185D74,05-TILE,Tile & Shower — Subcontractor,1,ls,5724.15,8276.61,8276.61,subcontractor
ELI-CD8DF2A0,EST-D6185D74,06-VANITY,Vanity & Fixtures — Labor,1,ls,1431.04,2069.15,2069.15,labor
ELI-B83847B8,EST-D6185D74,06-VANITY,Vanity & Fixtures — Materials,1,ls,3434.49,4965.97,4965.97,material
ELI-E6FF3FB4,EST-D6185D74,07-PAINT,Paint — Labor,1,ls,1144.83,1655.32,1655.32,labor
ELI-D2719357,EST-D6185D74,07-PAINT,Paint — Materials,1,ls,572.42,827.66,827.66,material
ELI-D7087BA0,EST-D6185D74,08-CLEANUP,Final Cleanup & Punch — Labor,1,ls,572.42,827.66,827.66,labor
ELI-C7C61047,EST-69221ADF,01-LABOR,Labor — Labor,1,ls,1060.06,2355.77,2355.77,labor
ELI-E1063908,EST-69221ADF,02-MATERIALS,Materials — Materials,1,ls,706.7,1570.51,1570.51,material
ELI-5303CAD9,EST-141237EC,01-LABOR,Labor — Labor,1,ls,773.09,2079.94,2079.94,labor
ELI-047540C6,EST-141237EC,02-MATERIALS,Materials — Materials,1,ls,515.4,1386.63,1386.63,material
ELI-1C20FC9C,EST-8983E111,01-LABOR,Labor — Labor,1,ls,967.64,2177.17,2177.17,labor
ELI-98E9CBD4,EST-8983E111,02-MATERIALS,Materials — Materials,1,ls,645.1,1451.45,1451.45,material
ELI-B8FA1968,EST-E05C6205,01-LABOR,Labor — Labor,1,ls,1181.47,2288.8,2288.8,labor
ELI-0A58D1BC,EST-E05C6205,02-MATERIALS,Materials — Materials,1,ls,787.64,1525.86,1525.86,material
ELI-924606CB,EST-C67F344B,01-LABOR,Labor — Labor,1,ls,531.76,1537.12,1537.12,labor
ELI-CAD09E15,EST-C67F344B,02-MATERIALS,Materials — Materials,1,ls,354.51,1024.75,1024.75,material
ELI-1265AAC1,EST-D08D21FC,01-LABOR,Labor — Labor,1,ls,890.98,2039.97,2039.97,labor
ELI-3DE552B4,EST-D08D21FC,02-MATERIALS,Materials — Materials,1,ls,593.99,1359.98,1359.98,material
ELI-9BCD15A5,EST-B96C190D,01-LABOR,Labor — Labor,1,ls,687.95,1698.55,1698.55,labor
ELI-1D45432F,EST-B96C190D,02-MATERIALS,Materials — Materials,1,ls,458.63,1132.36,1132.36,material
ELI-E9C17BD4,EST-ED0F5DEF,01-FOOTINGS,Footings & Posts — Labor,1,ls,6467.34,11532.21,11532.21,labor
ELI-3C827B06,EST-ED0F5DEF,01-FOOTINGS,Footings & Posts — Materials,1,ls,3449.25,6150.51,6150.51,material
ELI-A300946C,EST-ED0F5DEF,02-FRAMING,Framing & Decking — Labor,1,ls,10778.91,19220.34,19220.34,labor
ELI-D10CFB0B,EST-ED0F5DEF,02-FRAMING,Framing & Decking — Materials,1,ls,12072.38,21526.78,21526.78,material
ELI-BB490665,EST-ED0F5DEF,03-STAIRS,Stairs & Railings — Labor,1,ls,5173.88,9225.76,9225.76,labor
ELI-0E1F1239,EST-ED0F5DEF,03-STAIRS,Stairs & Railings — Materials,1,ls,4311.56,7688.14,7688.14,material
ELI-D9D876A5,EST-ED0F5DEF,04-FINISH,Finish & Sealing — Labor,1,ls,3449.25,6150.51,6150.51,labor
ELI-D2644E8A,EST-ED0F5DEF,04-FINISH,Finish & Sealing — Materials,1,ls,1724.63,3075.25,3075.25,material
ELI-85E34597,EST-ED0F5DEF,05-CLEANUP,Cleanup & Final Inspection — Labor,1,ls,862.31,1537.63,1537.63,labor
ELI-673B9D5A,EST-4DD9018D,01-LABOR,Labor — Labor,1,ls,602.08,1297.15,1297.15,labor
ELI-F8670E28,EST-4DD9018D,02-MATERIALS,Materials — Materials,1,ls,401.39,864.77,864.77,material
ELI-D5685BB7,EST-2F660B84,01-SITE,Site Work & Excavation — Labor,1,ls,12184.61,15817.36,15817.36,labor
ELI-C0566574,EST-2F660B84,01-SITE,Site Work & Excavation — Materials,1,ls,8123.07,10544.91,10544.91,material
ELI-DA17F77B,EST-2F660B84,01-SITE,Site Work & Excavation — Subcontractor,1,ls,20307.68,26362.27,26362.27,subcontractor
ELI-3CA821BF,EST-2F660B84,02-FOUNDATION,Foundation — Labor,1,ls,20307.68,26362.27,26362.27,labor
ELI-4D5A720B,EST-2F660B84,02-FOUNDATION,Foundation — Materials,1,ls,28430.75,36907.18,36907.18,material
ELI-4685207F,EST-2F660B84,02-FOUNDATION,Foundation — Subcontractor,1,ls,12184.61,15817.36,15817.36,subcontractor
ELI-4448D4AF,EST-2F660B84,03-FRAMING,Framing — Labor,1,ls,40615.36,52724.54,52724.54,labor
ELI-71D8A0C1,EST-2F660B84,03-FRAMING,Framing — Materials,1,ls,56861.5,73814.36,73814.36,material
ELI-A5FAC5DB,EST-2F660B84,04-ROOFING,Roofing — Labor,1,ls,16246.14,21089.82,21089.82,labor
ELI-13A982DF,EST-2F660B84,04-ROOFING,Roofing — Materials,1,ls,20307.68,26362.27,26362.27,material
ELI-F1B349DE,EST-2F660B84,05-WINDOWS-DOORS,Windows & Exterior Doors — Labor,1,ls,12184.61,15817.36,15817.36,labor
ELI-A708BAF3,EST-2F660B84,05-WINDOWS-DOORS,Windows & Exterior Doors — Materials,1,ls,36553.82,47452.09,47452.09,material
ELI-C5026A96,EST-2F660B84,06-ROUGH-PLUMB,Rough Plumbing — Materials,1,ls,8123.07,10544.91,10544.91,material
ELI-CE1C0235,EST-2F660B84,06-ROUGH-PLUMB,Rough Plumbing — Subcontractor,1,ls,28430.75,36907.18,36907.18,subcontractor
ELI-4778A15B,EST-2F660B84,07-ROUGH-ELEC,Rough Electrical — Materials,1,ls,12184.61,15817.36,15817.36,material
ELI-0BCE96E7,EST-2F660B84,07-ROUGH-ELEC,Rough Electrical — Subcontractor,1,ls,28430.75,36907.18,36907.18,subcontractor
ELI-B7E40697,EST-2F660B84,08-HVAC,HVAC — Subcontractor,1,ls,28430.75,36907.18,36907.18,subcontractor
ELI-2489BD8B,EST-2F660B84,09-INSULATION,Insulation — Labor,1,ls,8123.07,10544.91,10544.91,labor
ELI-DD18574D,EST-2F660B84,09-INSULATION,Insulation — Materials,1,ls,12184.61,15817.36,15817.36,material
ELI-FF0F8E68,EST-2F660B84,10-SIDING,Exterior Siding & Trim — Labor,1,ls,16246.14,21089.82,21089.82,labor
ELI-9A13081B,EST-2F660B84,10-SIDING,Exterior Siding & Trim — Materials,1,ls,24369.21,31634.73,31634.73,material
ELI-A747A903,EST-2F660B84,11-DRYWALL,Drywall — Labor,1,ls,16246.14,21089.82,21089.82,labor
ELI-EE9FBFBF,EST-2F660B84,11-DRYWALL,Drywall — Materials,1,ls,12184.61,15817.36,15817.36,material
ELI-B62F3E5B,EST-2F660B84,12-PAINT,Paint - Interior & Exterior — Labor,1,ls,12184.61,15817.36,15817.36,labor
ELI-2263F324,EST-2F660B84,12-PAINT,Paint - Interior & Exterior — Materials,1,ls,8123.07,10544.91,10544.91,material
ELI-76B51E62,EST-2F660B84,13-CABINETS,Cabinets — Labor,1,ls,12184.61,15817.36,15817.36,labor
ELI-D7236E0E,EST-2F660B84,13-CABINETS,Cabinets — Materials,1,ls,24369.21,31634.73,31634.73,material
ELI-94317461,EST-2F660B84,14-COUNTERTOPS,Countertops — Subcontractor,1,ls,16246.14,21089.82,21089.82,subcontractor
ELI-5A6771E2,EST-2F660B84,15-FLOORING,Flooring — Labor,1,ls,12184.61,15817.36,15817.36,labor
ELI-4FE0E0CE,EST-2F660B84,15-FLOORING,Flooring — Materials,1,ls,20307.68,26362.27,26362.27,material
ELI-704A0263,EST-2F660B84,16-TRIM,Finish Carpentry & Trim — Labor,1,ls,16246.14,21089.82,21089.82,labor
ELI-C73217F8,EST-2F660B84,16-TRIM,Finish Carpentry & Trim — Materials,1,ls,12184.61,15817.36,15817.36,material
ELI-2B248FBB,EST-2F660B84,17-FIXTURES,Fixtures & Appliances — Labor,1,ls,8123.07,10544.91,10544.91,labor
ELI-F5466687,EST-2F660B84,17-FIXTURES,Fixtures & Appliances — Materials,1,ls,24369.21,31634.73,31634.73,material
ELI-7B58E8D0,EST-2F660B84,18-LANDSCAPING,Final Grade & Landscaping — Labor,1,ls,4061.54,5272.45,5272.45,labor
ELI-4E830E0C,EST-2F660B84,18-LANDSCAPING,Final Grade & Landscaping — Materials,1,ls,8123.07,10544.91,10544.91,material
ELI-59CBE0A1,EST-2F660B84,18-LANDSCAPING,Final Grade & Landscaping — Subcontractor,1,ls,8123.07,10544.91,10544.91,subcontractor
ELI-D12615DF,EST-2F660B84,19-CLEANUP,Final Cleanup & CO — Labor,1,ls,8123.07,10544.91,10544.91,labor
ELI-59C1F586,EST-52546706,01-LABOR,Labor — Labor,1,ls,837.82,1879.01,1879.01,labor
ELI-20B80FC1,EST-52546706,02-MATERIALS,Materials — Materials,1,ls,558.55,1252.67,1252.67,material
ELI-2BE6FF4A,EST-5D53E17C,01-DEMO,Demolition — Labor,1,ls,4538.36,6635.41,6635.41,labor
ELI-DC81E389,EST-5D53E17C,02-FRAMING,Framing & Partitions — Labor,1,ls,7780.05,11374.99,11374.99,labor
ELI-0693C4BD,EST-5D53E17C,02-FRAMING,Framing & Partitions — Materials,1,ls,5186.7,7583.32,7583.32,material
ELI-A72D7C23,EST-5D53E17C,03-ROUGH-ELEC,Rough Electrical — Materials,1,ls,1945.01,2843.75,2843.75,material
ELI-AE437474,EST-5D53E17C,03-ROUGH-ELEC,Rough Electrical — Subcontractor,1,ls,7780.05,11374.99,11374.99,subcontractor
ELI-AE17DB99,EST-5D53E17C,04-ROUGH-PLUMB,Rough Plumbing — Materials,1,ls,1296.67,1895.83,1895.83,material
ELI-21870695,EST-5D53E17C,04-ROUGH-PLUMB,Rough Plumbing — Subcontractor,1,ls,4538.36,6635.41,6635.41,subcontractor
ELI-F077E2E0,EST-5D53E17C,05-HVAC,HVAC — Subcontractor,1,ls,6483.37,9479.16,9479.16,subcontractor
ELI-8795F8D6,EST-5D53E17C,06-CEILING,Ceiling Grid & Tiles — Labor,1,ls,3890.02,5687.49,5687.49,labor
ELI-0B94E6FA,EST-5D53E17C,06-CEILING,Ceiling Grid & Tiles — Materials,1,ls,3241.69,4739.58,4739.58,material
ELI-C2B8E2B4,EST-5D53E17C,07-DRYWALL,Drywall — Labor,1,ls,4538.36,6635.41,6635.41,labor
ELI-8182EC6D,EST-5D53E17C,07-DRYWALL,Drywall — Materials,1,ls,2593.35,3791.66,3791.66,material
ELI-43B53A7B,EST-5D53E17C,08-PAINT,Paint — Labor,1,ls,3241.69,4739.58,4739.58,labor
ELI-0AABD039,EST-5D53E17C,08-PAINT,Paint — Materials,1,ls,1296.67,1895.83,1895.83,material
ELI-EE6D864D,EST-5D53E17C,09-FLOORING,Flooring — Labor,1,ls,2593.35,3791.66,3791.66,labor
ELI-1C862741,EST-5D53E17C,09-FLOORING,Flooring — Materials,1,ls,3890.02,5687.49,5687.49,material
ELI-5AA21A9D,EST-5D53E17C,10-DOORS,Doors & Hardware — Labor,1,ls,1945.01,2843.75,2843.75,labor
ELI-3447F50E,EST-5D53E17C,10-DOORS,Doors & Hardware — Materials,1,ls,3241.69,4739.58,4739.58,material
ELI-CBABAC4E,EST-5D53E17C,11-CLEANUP,Final Cleanup — Labor,1,ls,1296.67,1895.83,1895.83,labor
ELI-8E99DBEA,EST-48CFA138,01-DEMO,Demolition — Labor,1,ls,7408.77,11096.81,11096.81,labor
ELI-76C1492B,EST-48CFA138,02-ROUGH-PLUMB,Rough Plumbing — Materials,1,ls,3704.39,5548.41,5548.41,material
ELI-C7DCB5C9,EST-48CFA138,02-ROUGH-PLUMB,Rough Plumbing — Subcontractor,1,ls,11113.16,16645.22,16645.22,subcontractor
ELI-1A8802D9,EST-48CFA138,03-ROUGH-ELEC,Rough Electrical — Materials,1,ls,2778.29,4161.3,4161.3,material
ELI-420AB004,EST-48CFA138,03-ROUGH-ELEC,Rough Electrical — Subcontractor,1,ls,9260.96,13871.01,13871.01,subcontractor
ELI-9626A2EA,EST-48CFA138,04-INSULATION,Insulation — Labor,1,ls,2778.29,4161.3,4161.3,labor
ELI-CB22C5B7,EST-48CFA138,04-INSULATION,Insulation — Materials,1,ls,1852.19,2774.2,2774.2,material
ELI-4A17B477,EST-48CFA138,05-DRYWALL,Drywall — Labor,1,ls,6482.67,9709.71,9709.71,labor
ELI-E7A26218,EST-48CFA138,05-DRYWALL,Drywall — Materials,1,ls,3704.39,5548.41,5548.41,material
ELI-F3A332C7,EST-48CFA138,06-CABINETS,Cabinet Installation — Labor,1,ls,5556.58,8322.61,8322.61,labor
ELI-A719C865,EST-48CFA138,06-CABINETS,Cabinet Installation — Materials,1,ls,16669.74,24967.82,24967.82,material
ELI-77CFA615,EST-48CFA138,07-COUNTERTOPS,Countertops — Subcontractor,1,ls,11113.16,16645.22,16645.22,subcontractor
ELI-8C49229F,EST-48CFA138,08-TILE,Tile Work — Materials,1,ls,2778.29,4161.3,4161.3,material
ELI-2CC7BD0D,EST-48CFA138,08-TILE,Tile Work — Subcontractor,1,ls,7408.77,11096.81,11096.81,subcontractor
ELI-851222EC,EST-48CFA138,09-PAINT,Paint — Labor,1,ls,4630.48,6935.51,6935.51,labor
ELI-A909E786,EST-48CFA138,09-PAINT,Paint — Materials,1,ls,1852.19,2774.2,2774.2,material
